Employee ID,Grant Number,Vest Date,Shares
1,222300,22-Aug-2013,"6,500"
1,222300,15-Sep-2013,250
1,222300,15-Oct-2013,250
1,222300,15-Nov-2013,250
1,222300,16-Dec-2013,250
1,222300,15-Jan-2014,250
1,222300,15-Feb-2014,250
1,222300,17-Mar-2014,250
1,222300,17-Apr-2014,250
1,222300,18-May-2014,250
1,222300,15-Jun-2014,250
1,222300,16-Jul-2014,250
1,222300,15-Aug-2014,250
1,222300,15-Sep-2014,250
1,222300,15-Oct-2014,250
1,222300,15-Nov-2014,250
1,222300,16-Dec-2014,250
1,222300,15-Jan-2015,250
1,222300,15-Feb-2015,250
1,222300,17-Mar-2015,250
1,222300,17-Apr-2015,250
1,222300,18-May-2015,250
1,222300,16-Jun-2015,250
2,222301,13-Jul-2014,"8,908"
2,222301,12-Aug-2014,742
2,222301,12-Sep-2014,743
2,222301,12-Oct-2014,742
2,222301,12-Nov-2014,743
2,222301,13-Dec-2014,742
2,222301,12-Jan-2015,743
2,222301,12-Feb-2015,742
2,222301,14-Mar-2015,743
2,222301,14-Apr-2015,742
2,222301,15-May-2015,743
2,222301,13-Jun-2015,742
2,222301,14-Jul-2015,743
2,222301,13-Aug-2015,742
2,222301,13-Sep-2015,743
2,222301,13-Oct-2015,742
2,222301,13-Nov-2015,743
2,222301,14-Dec-2015,742
2,222301,13-Jan-2016,743
2,222301,13-Feb-2016,742
2,222301,14-Mar-2016,743
2,222301,14-Apr-2016,742
2,222301,15-May-2016,743
2,222301,12-Jun-2016,742
2,222301,13-Jul-2016,743
2,222301,12-Aug-2016,742
2,222301,12-Sep-2016,743
2,222301,12-Oct-2016,742
2,222301,12-Nov-2016,743
2,222301,13-Dec-2016,742
2,222301,12-Jan-2017,743
2,222301,12-Feb-2017,742
2,222301,14-Mar-2017,743
2,222301,14-Apr-2017,742
2,222301,15-May-2017,743
2,222301,12-Jun-2017,742
2,222301,13-Jul-2017,743
3,222302,20-Jul-2014,"21,000"
3,222302,20-Aug-2014,"1,750"
3,222302,19-Sep-2014,"1,750"
3,222302,20-Oct-2014,"1,750"
3,222302,20-Nov-2014,"1,750"
3,222302,20-Dec-2014,"1,750"
3,222302,20-Jan-2015,"1,750"
3,222302,19-Feb-2015,"1,750"
3,222302,22-Mar-2015,"1,750"
3,222302,22-Apr-2015,"1,750"
3,222302,21-May-2015,"1,750"
3,222302,21-Jun-2015,"1,750"
3,222302,21-Jul-2015,"1,750"
3,222302,21-Aug-2015,"1,750"
3,222302,20-Sep-2015,"1,750"
3,222302,21-Oct-2015,"1,750"
3,222302,21-Nov-2015,"1,750"
3,222302,21-Dec-2015,"1,750"
3,222302,21-Jan-2016,"1,750"
3,222302,20-Feb-2016,"1,750"
3,222302,22-Mar-2016,"1,750"
3,222302,22-Apr-2016,"1,750"
3,222302,20-May-2016,"1,750"
3,222302,20-Jun-2016,"1,750"
3,222302,20-Jul-2016,"1,750"
3,222302,20-Aug-2016,"1,750"
3,222302,19-Sep-2016,"1,750"
3,222302,20-Oct-2016,"1,750"
3,222302,20-Nov-2016,"1,750"
3,222302,20-Dec-2016,"1,750"
3,222302,20-Jan-2017,"1,750"
3,222302,19-Feb-2017,"1,750"
3,222302,22-Mar-2017,"1,750"
3,222302,22-Apr-2017,"1,750"
3,222302,20-May-2017,"1,750"
3,222302,20-Jun-2017,"1,750"
3,222302,20-Jul-2017,"1,750"
4,222303,22-Mar-2014,"21,000"
4,222303,22-Apr-2014,"1,750"
4,222303,20-May-2014,"1,750"
4,222303,20-Jun-2014,"1,750"
4,222303,20-Jul-2014,"1,750"
4,222303,20-Aug-2014,"1,750"
4,222303,19-Sep-2014,"1,750"
4,222303,20-Oct-2014,"1,750"
4,222303,20-Nov-2014,"1,750"
4,222303,20-Dec-2014,"1,750"
4,222303,20-Jan-2015,"1,750"
4,222303,19-Feb-2015,"1,750"
4,222303,22-Mar-2015,"1,750"
4,222303,22-Apr-2015,"1,750"
4,222303,21-May-2015,"1,750"
4,222303,21-Jun-2015,"1,750"
4,222303,21-Jul-2015,"1,750"
4,222303,21-Aug-2015,"1,750"
4,222303,20-Sep-2015,"1,750"
4,222303,21-Oct-2015,"1,750"
4,222303,21-Nov-2015,"1,750"
4,222303,21-Dec-2015,"1,750"
4,222303,21-Jan-2016,"1,750"
4,222303,20-Feb-2016,"1,750"
4,222303,22-Mar-2016,"1,750"
4,222303,22-Apr-2016,"1,750"
4,222303,20-May-2016,"1,750"
4,222303,20-Jun-2016,"1,750"
4,222303,20-Jul-2016,"1,750"
4,222303,20-Aug-2016,"1,750"
4,222303,19-Sep-2016,"1,750"
4,222303,20-Oct-2016,"1,750"
4,222303,20-Nov-2016,"1,750"
4,222303,20-Dec-2016,"1,750"
4,222303,20-Jan-2017,"1,750"
4,222303,19-Feb-2017,"1,750"
4,222303,22-Mar-2017,"1,750"
5,222304,16-Apr-2014,"19,239"
5,222304,17-May-2014,"1,603"
5,222304,14-Jun-2014,"1,603"
5,222304,15-Jul-2014,"1,603"
5,222304,14-Aug-2014,"1,603"
5,222304,14-Sep-2014,"1,603"
5,222304,14-Oct-2014,"1,603"
5,222304,14-Nov-2014,"1,603"
5,222304,15-Dec-2014,"1,603"
5,222304,14-Jan-2015,"1,603"
5,222304,14-Feb-2015,"1,603"
5,222304,16-Mar-2015,"1,603"
5,222304,16-Apr-2015,"1,604"
5,222304,17-May-2015,"1,603"
5,222304,15-Jun-2015,"1,603"
5,222304,16-Jul-2015,"1,603"
5,222304,15-Aug-2015,"1,603"
5,222304,15-Sep-2015,"1,603"
5,222304,15-Oct-2015,"1,603"
5,222304,15-Nov-2015,"1,603"
5,222304,16-Dec-2015,"1,603"
5,222304,15-Jan-2016,"1,603"
5,222304,15-Feb-2016,"1,603"
5,222304,16-Mar-2016,"1,603"
5,222304,16-Apr-2016,"1,604"
5,222304,17-May-2016,"1,603"
5,222304,14-Jun-2016,"1,603"
5,222304,15-Jul-2016,"1,603"
5,222304,14-Aug-2016,"1,603"
5,222304,14-Sep-2016,"1,603"
5,222304,14-Oct-2016,"1,603"
5,222304,14-Nov-2016,"1,603"
5,222304,15-Dec-2016,"1,603"
5,222304,14-Jan-2017,"1,603"
5,222304,14-Feb-2017,"1,603"
5,222304,16-Mar-2017,"1,603"
5,222304,16-Apr-2017,"1,604"
6,222305,30-Mar-2014,"20,490"
6,222305,30-Apr-2014,"1,707"
6,222305,28-May-2014,"1,708"
